"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2020","48.82","49.36","49.91","48.27","473.40K","-1.55%"
"04/02/2020","49.59","48.44","49.67","48.27","633.60K","1.76%"
"04/01/2020","48.73","49.31","50.31","48.31","868.98K","-4.64%"
"03/31/2020","51.10","51.84","52.81","50.78","709.50K","-1.37%"
"03/30/2020","51.81","50.26","51.95","50.25","591.32K","4.12%"
"03/27/2020","49.76","50.44","51.28","49.69","700.43K","-4.14%"
"03/26/2020","51.91","49.39","52.07","49.39","1.52M","6.22%"
"03/25/2020","48.87","49.73","51.21","48.32","895.75K","-1.31%"
"03/24/2020","49.52","48.10","49.63","47.80","912.73K","9.20%"
"03/23/2020","45.35","45.30","46.30","43.81","1.25M","-0.29%"
"03/20/2020","45.48","48.44","48.86","45.44","886.26K","-3.99%"
"03/19/2020","47.37","46.34","48.91","45.48","1.34M","0.98%"
"03/18/2020","46.91","45.38","47.62","44.37","1.89M","-3.34%"
"03/17/2020","48.53","46.55","49.06","44.95","1.12M","6.82%"
"03/16/2020","45.43","46.30","49.45","45.29","1.15M","-13.61%"
"03/13/2020","52.59","50.38","52.70","47.80","1.57M","11.28%"
"03/12/2020","47.26","48.70","51.24","46.87","1.92M","-9.91%"
"03/11/2020","52.46","53.80","53.98","51.79","1.73M","-4.88%"
"03/10/2020","55.15","54.12","55.15","52.26","1.30M","6.14%"
"03/09/2020","51.96","51.80","54.19","50.40","1.98M","-7.50%"
"03/06/2020","56.17","55.61","56.48","54.73","736.35K","-2.33%"
"03/05/2020","57.51","57.78","58.90","57.16","675.51K","-3.15%"
"03/04/2020","59.38","58.23","59.42","57.50","656.16K","4.01%"
"03/03/2020","57.09","59.63","60.05","56.50","1.83M","-3.61%"
"03/02/2020","59.23","57.29","59.26","56.23","904.16K","4.72%"
"02/28/2020","56.56","53.70","56.72","53.56","2.33M","1.34%"
"02/27/2020","55.81","57.07","58.25","55.81","2.02M","-5.44%"
"02/26/2020","59.02","58.91","60.20","58.60","1.03M","0.51%"
"02/25/2020","58.72","60.93","61.09","58.50","2.67M","-2.68%"
"02/24/2020","60.34","60.16","61.15","59.42","1.73M","-4.24%"
"02/21/2020","63.01","64.22","64.22","62.71","1.08M","-2.36%"
"02/20/2020","64.53","65.09","65.22","63.70","533.23K","-1.06%"
"02/19/2020","65.22","64.94","65.31","64.92","402.70K","1.01%"
"02/18/2020","64.57","64.22","64.61","64.14","302.64K","-0.25%"
"02/14/2020","64.73","64.62","64.83","64.41","301.48K","0.33%"
"02/13/2020","64.52","64.23","64.83","64.13","451.73K","-0.31%"
"02/12/2020","64.72","64.45","64.74","64.14","847.79K","1.08%"
"02/11/2020","64.03","64.66","64.70","63.81","515.95K","-0.25%"
"02/10/2020","64.19","63.01","64.19","62.95","267.38K","1.36%"
"02/07/2020","63.33","63.52","63.80","63.14","347.80K","-0.75%"
"02/06/2020","63.81","63.38","63.81","63.12","440.20K","1.09%"
"02/05/2020","63.12","63.84","63.84","62.73","586.90K","0.45%"
"02/04/2020","62.84","62.28","62.84","62.04","342.30K","2.30%"
"02/03/2020","61.43","60.66","61.47","60.66","330.47K","1.45%"
"01/31/2020","60.55","62.00","62.00","60.35","672.14K","-2.53%"
"01/30/2020","62.12","61.63","62.12","61.31","802.16K","0.40%"
"01/29/2020","61.87","62.20","62.25","61.62","365.79K","0.31%"
"01/28/2020","61.68","61.08","61.83","60.91","483.54K","1.83%"
"01/27/2020","60.57","60.52","60.92","60.23","970.34K","-2.37%"
"01/24/2020","62.04","62.88","62.95","61.81","566.05K","-0.55%"
"01/23/2020","62.38","62.17","62.40","61.93","225.56K","0.45%"
"01/22/2020","62.10","62.29","62.51","62.05","359.71K","0.34%"
"01/21/2020","61.89","61.70","62.19","61.70","288.97K","-0.06%"
"01/17/2020","61.93","61.87","61.97","61.50","296.74K","0.63%"
"01/16/2020","61.54","61.19","61.56","61.10","334.68K","1.25%"
"01/15/2020","60.78","60.82","61.11","60.57","360.92K","0.02%"
"01/14/2020","60.77","61.09","61.16","60.70","523.48K","-0.59%"
"01/13/2020","61.13","60.58","61.13","60.58","367.36K","1.34%"
"01/10/2020","60.32","60.68","60.72","60.20","480.61K","-0.17%"
"01/09/2020","60.42","60.31","60.42","60.00","404.74K","1.14%"
"01/08/2020","59.74","59.20","59.98","59.15","476.39K","1.00%"
"01/07/2020","59.15","59.21","59.38","59.00","289.79K","0.05%"
"01/06/2020","59.12","58.18","59.15","58.04","330.62K","0.61%"
"01/03/2020","58.76","58.55","59.13","58.55","377.07K","-0.99%"
"01/02/2020","59.35","58.69","59.35","58.62","826.52K","2.06%"
"12/31/2019","58.15","57.81","58.20","57.79","203.82K","0.22%"
"12/30/2019","58.02","58.38","58.38","57.60","318.90K","-0.68%"
"12/27/2019","58.42","58.73","58.73","58.25","176.91K","-0.14%"
"12/26/2019","58.50","58.11","58.50","58.01","249.53K","0.84%"
"12/24/2019","58.01","58.11","58.11","57.88","320.49K","-0.02%"
"12/23/2019","58.02","58.01","58.11","57.93","344.69K","0.38%"
"12/20/2019","57.80","57.86","57.87","57.65","306.95K","0.45%"
"12/19/2019","57.54","57.16","57.54","57.16","421.84K","0.74%"
"12/18/2019","57.12","57.14","57.32","57.07","228.59K","0.18%"
"12/17/2019","57.02","57.26","57.26","56.97","656.87K","-0.24%"
"12/16/2019","57.16","56.98","57.35","56.97","446.11K","0.86%"
"12/13/2019","56.67","56.44","56.83","56.36","281.00K","0.44%"
"12/12/2019","56.42","55.88","56.58","55.79","453.68K","0.82%"
"12/11/2019","55.96","55.75","56.01","55.67","164.30K","0.56%"
"12/10/2019","55.65","55.65","55.91","55.51","268.89K","0.11%"
"12/09/2019","55.59","55.69","55.99","55.59","214.76K","-0.45%"
"12/06/2019","55.84","55.61","55.89","55.60","489.54K","1.14%"
"12/05/2019","55.21","55.29","55.33","54.99","380.02K","0.33%"
"12/04/2019","55.03","55.06","55.18","54.99","316.10K","0.49%"
"12/03/2019","54.76","54.22","54.76","54.05","477.72K","-0.67%"
"12/02/2019","55.13","55.99","55.99","54.91","552.96K","-1.41%"
"11/29/2019","55.92","56.02","56.12","55.92","79.50K","-0.48%"
"11/27/2019","56.19","56.08","56.19","55.98","203.98K","0.48%"
"11/26/2019","55.92","55.97","56.04","55.85","273.12K","-0.05%"
"11/25/2019","55.95","55.44","55.95","55.44","723.94K","1.38%"
"11/22/2019","55.19","55.35","55.47","54.99","410.87K","-0.02%"
"11/21/2019","55.20","55.34","55.40","55.05","677.69K","-0.38%"
"11/20/2019","55.41","55.60","55.75","54.98","412.97K","-0.59%"
"11/19/2019","55.74","55.93","55.93","55.51","491.74K","0.14%"
"11/18/2019","55.66","55.53","55.77","55.30","380.62K","0.20%"
"11/15/2019","55.55","55.33","55.55","55.26","251.77K","1.02%"
"11/14/2019","54.99","54.84","55.01","54.73","290.53K","-0.13%"
"11/13/2019","55.06","54.76","55.08","54.76","252.07K","0.15%"
"11/12/2019","54.98","54.79","55.18","54.79","365.26K","0.40%"
"11/11/2019","54.76","54.46","54.79","54.43","238.94K","-0.09%"
"11/08/2019","54.81","54.34","54.81","54.27","333.84K","0.57%"
"11/07/2019","54.50","54.45","54.86","54.33","684.11K","0.76%"
"11/06/2019","54.09","54.15","54.15","53.86","300.05K","-0.17%"
"11/05/2019","54.18","54.23","54.32","54.06","277.16K","0.09%"
"11/04/2019","54.13","54.08","54.18","53.98","254.81K","0.86%"
"11/01/2019","53.67","53.22","53.67","53.15","396.02K","1.26%"
"10/31/2019","53.00","53.19","53.19","52.70","303.18K","-0.08%"
"10/30/2019","53.04","52.93","53.13","52.62","441.00K","0.49%"
"10/29/2019","52.78","53.28","53.29","52.74","371.68K","-1.11%"
"10/28/2019","53.37","53.03","53.43","53.03","285.60K","1.37%"
"10/25/2019","52.65","52.01","52.67","52.01","241.68K","1.21%"
"10/24/2019","52.02","51.83","52.05","51.63","540.79K","0.99%"
"10/23/2019","51.51","51.16","51.51","51.16","198.29K","0.25%"
"10/22/2019","51.38","52.03","52.16","51.35","210.62K","-1.04%"
"10/21/2019","51.92","51.65","51.95","51.56","370.46K","1.03%"
"10/18/2019","51.39","51.87","51.89","51.00","280.01K","-1.08%"
"10/17/2019","51.95","52.18","52.27","51.70","335.56K","-0.06%"
"10/16/2019","51.98","52.11","52.13","51.80","2.06M","-0.82%"
"10/15/2019","52.41","51.91","52.54","51.86","277.92K","1.26%"
"10/14/2019","51.76","51.75","51.95","51.70","276.78K","-0.02%"
"10/11/2019","51.77","51.63","52.22","51.63","634.58K","1.41%"
"10/10/2019","51.05","50.69","51.24","50.69","343.37K","0.71%"
"10/09/2019","50.69","50.54","50.92","50.48","343.73K","1.30%"
"10/08/2019","50.04","50.62","50.73","50.03","543.86K","-1.84%"
"10/07/2019","50.98","50.99","51.39","50.95","167.06K","-0.23%"
"10/04/2019","51.10","50.64","51.15","50.59","301.07K","1.59%"
"10/03/2019","50.30","49.59","50.30","49.04","1.15M","1.37%"
"10/02/2019","49.62","50.19","50.19","49.30","731.78K","-1.78%"
"10/01/2019","50.52","51.32","51.60","50.52","551.96K","-1.04%"
"09/30/2019","51.05","50.78","51.15","50.69","302.41K","0.93%"
"09/27/2019","50.58","51.34","51.37","50.20","684.40K","-1.46%"
"09/26/2019","51.33","51.36","51.47","50.95","458.26K","-0.12%"
"09/25/2019","51.39","50.60","51.53","50.16","488.88K","1.34%"
"09/24/2019","50.71","51.71","51.84","50.53","698.96K","-1.57%"
"09/23/2019","51.52","51.37","51.70","51.28","941.35K","0.23%"
"09/20/2019","51.40","52.03","52.09","51.20","414.46K","-0.98%"
"09/19/2019","51.91","51.90","52.31","51.80","378.49K","0.29%"
"09/18/2019","51.76","51.56","51.79","51.11","346.84K","0.15%"
"09/17/2019","51.68","51.49","51.69","51.37","126.36K","0.37%"
"09/16/2019","51.49","51.16","51.57","51.03","204.65K","-0.14%"
"09/13/2019","51.56","51.73","51.78","51.50","231.74K","-0.62%"
"09/12/2019","51.88","52.07","52.29","51.71","475.38K","0.23%"
"09/11/2019","51.76","51.18","51.77","51.17","856.19K","1.23%"
"09/10/2019","51.13","50.84","51.13","50.55","380.87K","0.00%"
"09/09/2019","51.13","51.43","51.46","50.86","547.87K","-0.33%"
"09/06/2019","51.30","51.49","51.49","51.21","347.39K","-0.23%"
"09/05/2019","51.42","50.99","51.57","50.99","1.03M","2.10%"
"09/04/2019","50.36","50.04","50.40","50.04","204.96K","1.63%"
"09/03/2019","49.55","49.77","50.01","49.38","298.86K","-1.35%"
"08/30/2019","50.23","50.59","50.59","49.91","346.38K","-0.08%"
"08/29/2019","50.27","49.96","50.40","49.90","437.13K","1.91%"
"08/28/2019","49.33","49.06","49.41","48.77","240.36K","0.00%"
"08/27/2019","49.33","49.80","49.90","49.09","316.54K","-0.24%"
"08/26/2019","49.45","49.40","49.50","49.06","491.46K","1.27%"
"08/23/2019","48.83","50.13","50.63","48.66","465.04K","-3.21%"
"08/22/2019","50.45","50.67","50.75","50.03","261.32K","-0.26%"
"08/21/2019","50.58","50.50","50.75","50.41","280.94K","1.14%"
"08/20/2019","50.01","50.25","50.42","50.01","203.46K","-0.64%"
"08/19/2019","50.33","50.28","50.51","50.14","205.08K","1.55%"
"08/16/2019","49.56","49.21","49.66","49.20","229.07K","1.72%"
"08/15/2019","48.72","48.94","48.99","48.35","470.51K","-0.43%"
"08/14/2019","48.93","49.57","49.77","48.80","742.45K","-3.15%"
"08/13/2019","50.52","49.28","50.78","49.22","356.77K","2.41%"
"08/12/2019","49.33","49.62","49.73","49.09","230.66K","-1.24%"
"08/09/2019","49.95","50.24","50.41","49.60","354.27K","-1.27%"
"08/08/2019","50.59","49.66","50.59","49.54","483.88K","2.53%"
"08/07/2019","49.34","48.58","49.43","48.30","1.18M","0.47%"
"08/06/2019","49.11","49.01","49.35","48.61","491.08K","1.43%"
"08/05/2019","48.42","49.17","49.17","48.01","1.79M","-4.00%"
"08/02/2019","50.44","50.97","51.02","50.17","544.10K","-1.92%"
"08/01/2019","51.43","51.81","52.87","51.18","502.83K","-0.58%"
"07/31/2019","51.73","52.61","52.70","51.25","429.69K","-1.41%"
"07/30/2019","52.47","52.34","52.68","52.25","215.20K","-0.61%"
"07/29/2019","52.79","52.89","52.89","52.37","292.13K","-0.17%"
"07/26/2019","52.88","52.73","53.02","52.73","254.10K","1.40%"
"07/25/2019","52.15","52.41","52.41","52.01","373.86K","-0.78%"
"07/24/2019","52.56","51.94","52.56","51.94","269.25K","0.96%"
"07/23/2019","52.06","52.06","52.06","51.63","296.09K","0.58%"
"07/22/2019","51.76","51.31","51.86","51.31","247.40K","1.19%"
"07/19/2019","51.15","51.89","51.90","51.13","285.25K","-0.66%"
"07/18/2019","51.49","51.05","51.53","50.91","215.98K","0.63%"
"07/17/2019","51.17","51.38","51.51","51.17","212.22K","-0.37%"
"07/16/2019","51.36","51.64","51.65","51.22","194.85K","-0.72%"
"07/15/2019","51.73","51.71","51.76","51.58","660.48K","0.25%"
"07/12/2019","51.60","51.28","51.60","51.28","292.41K","0.86%"
"07/11/2019","51.16","51.16","51.38","51.01","448.59K","0.25%"
"07/10/2019","51.03","50.84","51.26","50.84","296.62K","0.89%"
"07/09/2019","50.58","50.03","50.62","50.03","147.32K","0.50%"
"07/08/2019","50.33","50.35","50.35","50.10","383.88K","-0.87%"
"07/05/2019","50.77","50.42","50.82","50.24","347.05K","-0.02%"
"07/03/2019","50.78","50.53","50.78","50.47","1.33M","0.71%"
"07/02/2019","50.42","50.17","50.42","50.10","429.96K","0.36%"
"07/01/2019","50.24","50.54","50.62","50.00","1.42M","1.56%"
"06/28/2019","49.47","49.54","49.59","49.27","234.77K","0.10%"
"06/27/2019","49.42","49.41","49.56","49.34","324.16K","0.45%"
"06/26/2019","49.20","49.17","49.55","49.17","280.34K","0.90%"
"06/25/2019","48.76","49.74","49.74","48.70","767.03K","-2.01%"
"06/24/2019","49.76","49.84","49.92","49.73","243.84K","-0.02%"
"06/21/2019","49.77","49.75","50.09","49.71","286.94K","-0.18%"
"06/20/2019","49.86","50.03","50.10","49.52","440.92K","1.20%"
"06/19/2019","49.27","49.25","49.37","48.88","632.36K","0.31%"
"06/18/2019","49.12","48.84","49.49","48.74","951.94K","1.78%"
"06/17/2019","48.26","48.09","48.44","48.09","243.19K","0.29%"
"06/14/2019","48.12","48.15","48.27","47.94","411.60K","-0.76%"
"06/13/2019","48.49","48.37","48.57","48.33","488.06K","0.56%"
"06/12/2019","48.22","48.38","48.40","48.07","1.96M","-0.62%"
"06/11/2019","48.52","49.02","49.12","48.35","2.88M","0.08%"
"06/10/2019","48.48","48.25","48.99","48.25","448.01K","1.19%"
"06/07/2019","47.91","47.27","48.11","47.23","912.31K","1.94%"
"06/06/2019","47.00","46.61","47.12","46.46","352.02K","0.95%"
"06/05/2019","46.56","46.64","46.68","46.01","532.62K","0.89%"
"06/04/2019","46.15","45.23","46.15","45.03","452.14K","3.20%"
"06/03/2019","44.72","45.83","45.86","44.44","2.48M","-2.70%"
"05/31/2019","45.96","46.19","46.40","45.95","557.46K","-1.77%"
"05/30/2019","46.79","46.66","46.87","46.50","458.73K","0.49%"
"05/29/2019","46.56","46.58","46.86","46.28","409.96K","-0.70%"
"05/28/2019","46.89","47.20","47.40","46.89","442.01K","-0.34%"
"05/24/2019","47.05","47.34","47.52","47.02","180.02K","-0.08%"
"05/23/2019","47.09","47.30","47.30","46.74","763.87K","-1.71%"
"05/22/2019","47.91","47.85","48.19","47.85","313.50K","-0.52%"
"05/21/2019","48.16","48.04","48.31","47.95","536.57K","1.28%"
"05/20/2019","47.55","47.69","47.93","47.38","706.70K","-2.06%"
"05/17/2019","48.55","48.51","49.22","48.48","419.59K","-0.96%"
"05/16/2019","49.02","48.60","49.35","48.52","427.78K","0.93%"
"05/15/2019","48.57","47.51","48.75","47.51","1.02M","1.53%"
"05/14/2019","47.84","47.54","48.14","47.47","1.27M","1.21%"
"05/13/2019","47.27","47.84","48.12","47.13","1.05M","-3.94%"
"05/10/2019","49.21","48.86","49.47","48.10","894.95K","0.16%"
"05/09/2019","49.13","48.88","49.31","48.36","478.86K","-0.67%"
"05/08/2019","49.46","49.42","49.85","49.35","633.04K","-0.28%"
"05/07/2019","49.60","50.11","50.32","49.13","1.04M","-2.13%"
"05/06/2019","50.68","49.82","50.76","49.70","588.76K","-0.67%"
"05/03/2019","51.02","50.65","51.05","50.59","312.60K","1.17%"
"05/02/2019","50.43","50.58","50.92","50.09","524.10K","-0.41%"
"05/01/2019","50.64","51.30","51.33","50.62","602.30K","-0.37%"
"04/30/2019","50.83","50.84","50.91","50.46","544.51K","-1.01%"
"04/29/2019","51.35","51.19","51.45","51.17","386.85K","0.25%"
"04/26/2019","51.22","51.06","51.22","50.72","329.49K","-0.21%"
"04/25/2019","51.33","51.69","51.77","51.18","377.00K","0.41%"
"04/24/2019","51.12","51.21","51.41","51.10","267.93K","-0.08%"
"04/23/2019","51.16","50.65","51.21","50.59","259.59K","1.27%"
"04/22/2019","50.52","50.02","50.52","50.02","260.25K","0.56%"
"04/18/2019","50.24","50.18","50.25","49.94","366.92K","0.24%"
"04/17/2019","50.12","50.17","50.25","49.94","169.22K","0.40%"
"04/16/2019","49.92","49.80","49.99","49.73","396.73K","0.48%"
"04/15/2019","49.68","49.67","49.76","49.41","227.57K","0.04%"
"04/12/2019","49.66","49.57","49.66","49.39","383.34K","0.61%"
"04/11/2019","49.36","49.47","49.50","49.27","437.71K","-0.08%"
"04/10/2019","49.40","49.04","49.40","49.04","514.08K","0.78%"
"04/09/2019","49.02","48.98","49.19","48.92","384.83K","-0.28%"
"04/08/2019","49.16","48.91","49.18","48.73","266.16K","0.33%"
"04/05/2019","49.00","49.03","49.07","48.93","2.87M","0.25%"
"04/04/2019","48.88","48.99","49.21","48.56","643.07K","-0.20%"
"04/03/2019","48.98","48.85","49.31","48.82","696.85K","0.74%"
"04/02/2019","48.62","48.36","48.66","48.27","483.67K","0.60%"
"04/01/2019","48.33","48.12","48.35","47.85","1.00M","1.43%"
